rank,name,year,rating,info_link
1,Kod Adi K.O.Z.,2015,            1.4    ,/title/tt4458206/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_1
2,Saving Christmas,2014,            1.5    ,/title/tt4009460/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_2
3,Superbabies: Baby Geniuses 2,2004,            1.6    ,/title/tt0270846/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_3
4,Daniel der Zauberer,2004,            1.6    ,/title/tt0421051/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_4
5,Manos: The Hands of Fate,1966,            1.7    ,/title/tt0060666/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_5
6,Pledge This!,2006,            1.7    ,/title/tt0417056/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_6
7,Dünyayi Kurtaran Adam'in Oglu,2006,            1.8    ,/title/tt0808240/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_7
8,Foodfight!,2012,            1.8    ,/title/tt0249516/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_8
9,Birdemic: Shock and Terror,2010,            1.8    ,/title/tt1316037/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_9
10,Álom.net,2009,            1.8    ,/title/tt1309000/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_10
11,Titanic - La leggenda continua,2000,            1.8    ,/title/tt0330994/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_11
12,Zombie Nation,2004,            1.9    ,/title/tt0463392/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_12
13,Disaster Movie,2008,            1.9    ,/title/tt1213644/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_13
14,Keloglan Karaprens'e Karsi,2006,            1.9    ,/title/tt0470833/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_14
15,The Hottie & the Nottie,2008,            1.9    ,/title/tt0804492/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_15
16,Kis Vuk,2008,            1.9    ,/title/tt0830861/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_16
17,From Justin to Kelly,2003,            1.9    ,/title/tt0339034/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_17
18,Ram Gopal Varma Ki Aag,2007,            1.9    ,/title/tt0473310/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_18
19,Jurassic Shark,2012,            1.9    ,/title/tt2071491/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_19
20,Kartoffelsalat,2015,            1.9    ,/title/tt4404474/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_20
21,Going Overboard,1989,            1.9    ,/title/tt0096870/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_21
22,Emret Komutanim: Sah Mat,2007,            1.9    ,/title/tt0953989/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_22
23,Ben & Arthur,2002,            2.0    ,/title/tt0364986/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_23
24,La leggenda del Titanic,1999,            2.0    ,/title/tt1623780/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_24
25,Birdemic 2: The Resurrection,2013,            2.0    ,/title/tt1674047/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_25
26,Himmatwala,2013,            2.0    ,/title/tt2344678/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_26
27,Monster a-Go Go,1965,            2.0    ,/title/tt0059464/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_27
28,House of the Dead,2003,            2.1    ,/title/tt0317676/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_28
29,Who's Your Caddy?,2007,            2.1    ,/title/tt0785077/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_29
30,Humshakals,2014,            2.2    ,/title/tt3036740/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_30
31,The Emoji Movie,2017,            2.2    ,/title/tt4877122/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_31
32,Hobgoblins,1988,            2.2    ,/title/tt0089280/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_32
33,The Beast of Yucca Flats,1961,            2.2    ,/title/tt0054673/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_33
34,Glitter,2001,            2.2    ,/title/tt0118589/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_34
35,Son of the Mask,2005,            2.2    ,/title/tt0362165/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_35
36,Crossover,2006,            2.2    ,/title/tt0473024/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_36
37,Space Mutiny,1988,            2.2    ,/title/tt0096149/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_37
38,Night Train to Mundo Fine,1966,            2.3    ,/title/tt0060753/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_38
39,Los nuevos extraterrestres,1983,            2.3    ,/title/tt0086026/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_39
40,Dracula 3000,2004,            2.3    ,/title/tt0367677/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_40
41,The Wild World of Batwoman,1966,            2.3    ,/title/tt0061191/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_41
42,Surf School,2006,            2.3    ,/title/tt0456014/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_42
43,Five the Hard Way,1969,            2.3    ,/title/tt0061671/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_43
44,Epic Movie,2007,            2.3    ,/title/tt0799949/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_44
45,The Starfighters,1964,            2.3    ,/title/tt0058615/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_45
46,Alone in the Dark,2005,            2.4    ,/title/tt0369226/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2239794342&pf_rd_r=0H0N9QRMFD1VH4NWFFYJ&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=bottom&ref_=chtbtm_tt_46
