rank,name,year,rating,info_link
1,Anand,1971,            8.7    ,/title/tt0066763/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_1
2,Drishyam,2013,            8.6    ,/title/tt3417422/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_2
3,Nayakan,1987,            8.6    ,/title/tt0093603/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_3
4,Anbe Sivam,2003,            8.6    ,/title/tt0367495/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_4
5,Gol Maal,1979,            8.5    ,/title/tt0079221/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_5
6,Dangal,2016,            8.5    ,/title/tt5074352/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_6
7,Black Friday,2004,            8.5    ,/title/tt0400234/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_7
8,Taare Zameen Par,2007,            8.4    ,/title/tt0986264/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_8
9,Jaane Bhi Do Yaaro,1983,            8.4    ,/title/tt0085743/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_9
10,3 Idiots,2009,            8.4    ,/title/tt1187043/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_10
11,Pather Panchali,1955,            8.3    ,/title/tt0048473/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_11
12,Chupke Chupke,1975,            8.3    ,/title/tt0072783/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_12
13,Vikram Vedha,2017,            8.3    ,/title/tt6148156/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_13
14,Thalapathi,1991,            8.3    ,/title/tt0101649/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_14
15,Khosla Ka Ghosla!,2006,            8.3    ,/title/tt0466460/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_15
16,Thani Oruvan,2015,            8.2    ,/title/tt4987556/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_16
17,A Wednesday,2008,            8.2    ,/title/tt1280558/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_17
18,Rang De Basanti,2006,            8.2    ,/title/tt0405508/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_18
19,Drishyam,2015,            8.2    ,/title/tt4430212/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_19
20,Talvar,2015,            8.2    ,/title/tt4934950/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_20
21,Sholay,1975,            8.2    ,/title/tt0073707/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_21
22,Paan Singh Tomar,2012,            8.2    ,/title/tt1620933/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_22
23,Queen,2013,            8.2    ,/title/tt3322420/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_23
24,Hera Pheri,2000,            8.2    ,/title/tt0242519/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_24
25,Black,2005,            8.2    ,/title/tt0375611/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_25
26,Apur Sansar,1959,            8.2    ,/title/tt0052572/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_26
27,Munna Bhai M.B.B.S.,2003,            8.2    ,/title/tt0374887/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_27
28,Andaz Apna Apna,1994,            8.2    ,/title/tt0109117/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_28
29,Soodhu Kavvum,2013,            8.2    ,/title/tt2877108/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_29
30,Jo Jeeta Wohi Sikandar,1992,            8.2    ,/title/tt0104561/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_30
31,"Swades: We, the People",2004,            8.2    ,/title/tt0367110/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_31
32,Shahid,2012,            8.2    ,/title/tt2181831/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_32
33,OMG: Oh My God!,2012,            8.2    ,/title/tt2283748/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_33
34,Bhaag Milkha Bhaag,2013,            8.2    ,/title/tt2356180/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_34
35,Gangs of Wasseypur,2012,            8.2    ,/title/tt1954470/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_35
36,Jigarthanda,2014,            8.1    ,/title/tt3569782/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_36
37,Kahaani,2012,            8.1    ,/title/tt1821480/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_37
38,Chak De! India,2007,            8.1    ,/title/tt0871510/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_38
39,Satya,1998,            8.1    ,/title/tt0195231/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_39
40,Udaan,2010,            8.1    ,/title/tt1639426/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_40
41,Dil Chahta Hai,2001,            8.1    ,/title/tt0292490/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_41
42,Aparajito,1956,            8.1    ,/title/tt0048956/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_42
43,Premam,2015,            8.1    ,/title/tt4679210/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_43
44,Pink,2016,            8.1    ,/title/tt5571734/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_44
45,Ustad Hotel,2012,            8.1    ,/title/tt2218988/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_45
46,Lagaan: Once Upon a Time in India,2001,            8.1    ,/title/tt0169102/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_46
47,Bahubali 2: The Conclusion,2017,            8.1    ,/title/tt4849438/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_47
48,Sarfarosh,1999,            8.1    ,/title/tt0200087/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_48
49,Roja,1992,            8.1    ,/title/tt0105271/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_49
50,PK,2014,            8.1    ,/title/tt2338151/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_50
51,Bangalore Days,2014,            8.1    ,/title/tt3668162/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_51
52,Iqbal,2005,            8.1    ,/title/tt0453729/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_52
53,Maqbool,2003,            8.1    ,/title/tt0379370/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_53
54,Sairat,2016,            8.1    ,/title/tt5312232/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=3055660582&pf_rd_r=1SEWSCTQ88HKMWSS1R0R&pf_rd_s=center-4&pf_rd_t=60601&pf_rd_i=india.top-rated-indian-movies&ref_=fea_india_ss_wrap_tt_54
