rank,name,year,rating,info_link
1,The Shawshank Redemption,1994,            9.2    ,/title/tt0111161/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_1
2,The Godfather,1972,            9.2    ,/title/tt0068646/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_2
3,The Godfather: Part II,1974,            9.0    ,/title/tt0071562/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_3
4,The Dark Knight,2008,            9.0    ,/title/tt0468569/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_4
5,12 Angry Men,1957,            8.9    ,/title/tt0050083/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_5
6,Schindler's List,1993,            8.9    ,/title/tt0108052/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_6
7,Pulp Fiction,1994,            8.9    ,/title/tt0110912/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_7
8,The Lord of the Rings: The Return of the King,2003,            8.9    ,/title/tt0167260/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_8
9,"Il buono, il brutto, il cattivo",1966,            8.8    ,/title/tt0060196/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_9
10,Fight Club,1999,            8.8    ,/title/tt0137523/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_10
11,The Lord of the Rings: The Fellowship of the Ring,2001,            8.8    ,/title/tt0120737/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_11
12,Forrest Gump,1994,            8.7    ,/title/tt0109830/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_12
13,Star Wars: Episode V - The Empire Strikes Back,1980,            8.7    ,/title/tt0080684/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_13
14,Inception,2010,            8.7    ,/title/tt1375666/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_14
15,The Lord of the Rings: The Two Towers,2002,            8.7    ,/title/tt0167261/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_15
16,One Flew Over the Cuckoo's Nest,1975,            8.7    ,/title/tt0073486/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_16
17,Goodfellas,1990,            8.7    ,/title/tt0099685/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_17
18,The Matrix,1999,            8.7    ,/title/tt0133093/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_18
19,Shichinin no samurai,1954,            8.6    ,/title/tt0047478/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_19
20,Star Wars,1977,            8.6    ,/title/tt0076759/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_20
21,Cidade de Deus,2002,            8.6    ,/title/tt0317248/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_21
22,Se7en,1995,            8.6    ,/title/tt0114369/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_22
23,The Silence of the Lambs,1991,            8.6    ,/title/tt0102926/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_23
24,It's a Wonderful Life,1946,            8.6    ,/title/tt0038650/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=2398042102&pf_rd_r=0P2KJ20GNWD6CTTKZY3S&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_24
