1,Fullmetal Alchemist: Brotherhood,TV (64 eps),Apr 2009 - Jul 2010,"1,009,623 members",9.25,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
2,Kimi no Na wa.,Movie (1 eps),Aug 2016 - Aug 2016,"510,939 members",9.24,https://myanimelist.net/anime/32281/Kimi_no_Na_wa
3,Gintama°,TV (51 eps),Apr 2015 - Mar 2016,"162,598 members",9.19,https://myanimelist.net/anime/28977/Gintama°
4,Steins;Gate,TV (24 eps),Apr 2011 - Sep 2011,"858,351 members",9.15,https://myanimelist.net/anime/9253/Steins_Gate
5,Owarimonogatari 2nd Season,TV (7 eps),Aug 2017 - Aug 2017,"72,997 members",9.14,https://myanimelist.net/anime/35247/Owarimonogatari_2nd_Season
6,Gintama',TV (51 eps),Apr 2011 - Mar 2012,"188,063 members",9.13,https://myanimelist.net/anime/9969/Gintama
7,Gintama. Porori-hen,TV (? eps),Oct 2017 - ,"25,524 members",9.11,https://myanimelist.net/anime/35843/Gintama_Porori-hen
8,Hunter x Hunter (2011),TV (148 eps),Oct 2011 - Sep 2014,"589,455 members",9.12,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011
9,Ginga Eiyuu Densetsu,OVA (110 eps),Jan 1988 - Mar 1997,"103,454 members",9.11,https://myanimelist.net/anime/820/Ginga_Eiyuu_Densetsu
10,Gintama': Enchousen,TV (13 eps),Oct 2012 - Mar 2013,"105,167 members",9.08,https://myanimelist.net/anime/15417/Gintama__Enchousen
11,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie (1 eps),Jul 2013 - Jul 2013,"91,912 members",9.06,https://myanimelist.net/anime/15335/Gintama_Movie_2__Kanketsu-hen_-_Yorozuya_yo_Eien_Nare
12,Koe no Katachi,Movie (1 eps),Sep 2016 - Sep 2016,"334,647 members",9.06,https://myanimelist.net/anime/28851/Koe_no_Katachi
13,Clannad: After Story,TV (24 eps),Oct 2008 - Mar 2009,"543,760 members",9.03,https://myanimelist.net/anime/4181/Clannad__After_Story
14,Gintama.,TV (12 eps),Jan 2017 - Mar 2017,"69,423 members",9.03,https://myanimelist.net/anime/34096/Gintama
15,Gintama,TV (201 eps),Apr 2006 - Mar 2010,"407,052 members",9.02,https://myanimelist.net/anime/918/Gintama
16,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,TV (10 eps),Oct 2016 - Dec 2016,"193,414 members",9.01,https://myanimelist.net/anime/32935/Haikyuu__Karasuno_Koukou_VS_Shiratorizawa_Gakuen_Koukou
17,Code Geass: Hangyaku no Lelouch R2,TV (25 eps),Apr 2008 - Sep 2008,"697,287 members",8.96,https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2
18,Kizumonogatari III: Reiketsu-hen,Movie (1 eps),Jan 2017 - Jan 2017,"88,017 members",8.92,https://myanimelist.net/anime/31758/Kizumonogatari_III__Reiketsu-hen
19,Sen to Chihiro no Kamikakushi,Movie (1 eps),Jul 2001 - Jul 2001,"602,112 members",8.92,https://myanimelist.net/anime/199/Sen_to_Chihiro_no_Kamikakushi
20,Haikyuu!! Second Season,TV (25 eps),Oct 2015 - Mar 2016,"270,389 members",8.90,https://myanimelist.net/anime/28891/Haikyuu_Second_Season
21,Shigatsu wa Kimi no Uso,TV (22 eps),Oct 2014 - Mar 2015,"587,178 members",8.89,https://myanimelist.net/anime/23273/Shigatsu_wa_Kimi_no_Uso
22,Made in Abyss,TV (13 eps),Jul 2017 - Sep 2017,"125,647 members",8.88,https://myanimelist.net/anime/34599/Made_in_Abyss
23,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV (12 eps),Jan 2017 - Mar 2017,"55,469 members",8.88,https://myanimelist.net/anime/33095/Shouwa_Genroku_Rakugo_Shinjuu__Sukeroku_Futatabi-hen
24,Mushishi Zoku Shou 2nd Season,TV (10 eps),Oct 2014 - Dec 2014,"100,138 members",8.85,https://myanimelist.net/anime/24701/Mushishi_Zoku_Shou_2nd_Season
25,Boku no Hero Academia 2nd Season,TV (25 eps),Apr 2017 - Sep 2017,"360,374 members",8.83,https://myanimelist.net/anime/33486/Boku_no_Hero_Academia_2nd_Season
26,Cowboy Bebop,TV (26 eps),Apr 1998 - Apr 1999,"607,702 members",8.81,https://myanimelist.net/anime/1/Cowboy_Bebop
27,Hajime no Ippo,TV (75 eps),Oct 2000 - Mar 2002,"197,493 members",8.81,https://myanimelist.net/anime/263/Hajime_no_Ippo
28,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,OVA (4 eps),Feb 1999 - Sep 1999,"151,441 members",8.81,https://myanimelist.net/anime/44/Rurouni_Kenshin__Meiji_Kenkaku_Romantan_-_Tsuioku-hen
29,Code Geass: Hangyaku no Lelouch,TV (25 eps),Oct 2006 - Jul 2007,"869,206 members",8.80,https://myanimelist.net/anime/1575/Code_Geass__Hangyaku_no_Lelouch
30,Mononoke Hime,Movie (1 eps),Jul 1997 - Jul 1997,"435,733 members",8.80,https://myanimelist.net/anime/164/Mononoke_Hime
31,Ookami Kodomo no Ame to Yuki,Movie (1 eps),Jul 2012 - Jul 2012,"302,356 members",8.80,https://myanimelist.net/anime/12355/Ookami_Kodomo_no_Ame_to_Yuki
32,Love Live! Sunshine!! 2nd Season,TV (? eps),Oct 2017 - ,"20,720 members",8.79,https://myanimelist.net/anime/34973/Love_Live_Sunshine_2nd_Season
33,Mushishi Zoku Shou,TV (10 eps),Apr 2014 - Jun 2014,"127,090 members",8.78,https://myanimelist.net/anime/21939/Mushishi_Zoku_Shou
34,Natsume Yuujinchou Roku,TV (11 eps),Apr 2017 - Jun 2017,"48,109 members",8.78,https://myanimelist.net/anime/34591/Natsume_Yuujinchou_Roku
35,Monogatari Series: Second Season,TV (26 eps),Jul 2013 - Dec 2013,"263,003 members",8.77,https://myanimelist.net/anime/17074/Monogatari_Series__Second_Season
36,Violet Evergarden,TV (? eps),Jul 2017 - ,"102,983 members",8.77,https://myanimelist.net/anime/33352/Violet_Evergarden
37,Mushishi,TV (26 eps),Oct 2005 - Jun 2006,"361,024 members",8.76,https://myanimelist.net/anime/457/Mushishi
38,Suzumiya Haruhi no Shoushitsu,Movie (1 eps),Feb 2010 - Feb 2010,"288,312 members",8.76,https://myanimelist.net/anime/7311/Suzumiya_Haruhi_no_Shoushitsu
39,Great Teacher Onizuka,TV (43 eps),Jun 1999 - Sep 2000,"321,054 members",8.75,https://myanimelist.net/anime/245/Great_Teacher_Onizuka
40,One Punch Man,TV (12 eps),Oct 2015 - Dec 2015,"812,811 members",8.75,https://myanimelist.net/anime/30276/One_Punch_Man
41,Tengen Toppa Gurren Lagann,TV (27 eps),Apr 2007 - Sep 2007,"688,568 members",8.75,https://myanimelist.net/anime/2001/Tengen_Toppa_Gurren_Lagann
42,Hajime no Ippo: New Challenger,TV (26 eps),Jan 2009 - Jul 2009,"109,947 members",8.74,https://myanimelist.net/anime/5258/Hajime_no_Ippo__New_Challenger
43,Howl no Ugoku Shiro,Movie (1 eps),Nov 2004 - Nov 2004,"416,901 members",8.74,https://myanimelist.net/anime/431/Howl_no_Ugoku_Shiro
44,Kizumonogatari II: Nekketsu-hen,Movie (1 eps),Aug 2016 - Aug 2016,"98,733 members",8.74,https://myanimelist.net/anime/31757/Kizumonogatari_II__Nekketsu-hen
45,Natsume Yuujinchou Shi,TV (13 eps),Jan 2012 - Mar 2012,"119,838 members",8.74,https://myanimelist.net/anime/11665/Natsume_Yuujinchou_Shi
46,Mushishi Zoku Shou: Suzu no Shizuku,Movie (1 eps),May 2015 - May 2015,"45,973 members",8.72,https://myanimelist.net/anime/28957/Mushishi_Zoku_Shou__Suzu_no_Shizuku
47,Shokugeki no Souma: San no Sara,TV (? eps),Oct 2017 - ,"95,304 members",8.70,https://myanimelist.net/anime/35788/Shokugeki_no_Souma__San_no_Sara
48,Bakuman. 3rd Season,TV (25 eps),Oct 2012 - Mar 2013,"162,412 members",8.69,https://myanimelist.net/anime/12365/Bakuman_3rd_Season
49,Death Note,TV (37 eps),Oct 2006 - Jun 2007,"1,260,802 members",8.69,https://myanimelist.net/anime/1535/Death_Note
50,Monster,TV (74 eps),Apr 2004 - Sep 2005,"307,299 members",8.69,https://myanimelist.net/anime/19/Monster
51,Fate/Zero 2nd Season,TV (12 eps),Apr 2012 - Jun 2012,"431,823 members",8.68,https://myanimelist.net/anime/11741/Fate_Zero_2nd_Season
52,Ansatsu Kyoushitsu (TV) 2nd Season,TV (25 eps),Jan 2016 - Jul 2016,"290,442 members",8.67,https://myanimelist.net/anime/30654/Ansatsu_Kyoushitsu_TV_2nd_Season
53,Haikyuu!!,TV (25 eps),Apr 2014 - Sep 2014,"400,741 members",8.67,https://myanimelist.net/anime/20583/Haikyuu
54,Hajime no Ippo: Rising,TV (25 eps),Oct 2013 - Mar 2014,"87,283 members",8.67,https://myanimelist.net/anime/19647/Hajime_no_Ippo__Rising
55,Natsume Yuujinchou San,TV (13 eps),Jul 2011 - Sep 2011,"125,644 members",8.66,https://myanimelist.net/anime/10379/Natsume_Yuujinchou_San
56,Yojouhan Shinwa Taikei,TV (11 eps),Apr 2010 - Jul 2010,"157,251 members",8.66,https://myanimelist.net/anime/7785/Yojouhan_Shinwa_Taikei
57,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,TV (39 eps),Apr 2016 - Dec 2016,"136,020 members",8.65,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken__Diamond_wa_Kudakenai
58,Kara no Kyoukai 5: Mujun Rasen,Movie (1 eps),Aug 2008 - Aug 2008,"127,222 members",8.65,https://myanimelist.net/anime/4282/Kara_no_Kyoukai_5__Mujun_Rasen
59,Mushishi Special: Hihamukage,Special (1 eps),Jan 2014 - Jan 2014,"60,022 members",8.65,https://myanimelist.net/anime/21329/Mushishi_Special__Hihamukage
60,Natsume Yuujinchou Go,TV (11 eps),Oct 2016 - Dec 2016,"67,266 members",8.65,https://myanimelist.net/anime/32983/Natsume_Yuujinchou_Go
61,Ping Pong The Animation,TV (11 eps),Apr 2014 - Jun 2014,"124,835 members",8.65,https://myanimelist.net/anime/22135/Ping_Pong_The_Animation
62,Shouwa Genroku Rakugo Shinjuu,TV (13 eps),Jan 2016 - Apr 2016,"118,264 members",8.63,https://myanimelist.net/anime/28735/Shouwa_Genroku_Rakugo_Shinjuu
63,Zoku Natsume Yuujinchou,TV (13 eps),Jan 2009 - Mar 2009,"135,232 members",8.63,https://myanimelist.net/anime/5300/Zoku_Natsume_Yuujinchou
64,Tengen Toppa Gurren Lagann Movie: Lagann-hen,Movie (1 eps),Apr 2009 - Apr 2009,"99,995 members",8.62,https://myanimelist.net/anime/4565/Tengen_Toppa_Gurren_Lagann_Movie__Lagann-hen
65,Aria The Origination,TV (13 eps),Jan 2008 - Apr 2008,"64,867 members",8.61,https://myanimelist.net/anime/3297/Aria_The_Origination
66,Rainbow: Nisha Rokubou no Shichinin,TV (26 eps),Apr 2010 - Sep 2010,"173,417 members",8.61,https://myanimelist.net/anime/6114/Rainbow__Nisha_Rokubou_no_Shichinin
67,Mahoutsukai no Yome,TV (24 eps),Jul 2017 - ,"94,554 members",8.60,https://myanimelist.net/anime/35062/Mahoutsukai_no_Yome
68,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie (1 eps),Apr 2013 - Apr 2013,"241,748 members",8.60,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_Déjà_vu
